Figure Region,M,B_tilde,Last Robust W,Method,crystalline
(a),5.5,0,2.15,symmetry,n
(b),1,0,4.64,symmetry,n
(b),2.5,0,1.96,symmetry,n
(b),2.25,0,1.764,symmetry,n
(c),10,0.85,1.773,symmetry,y
(c),10,0.925,1.06,symmetry,y
(c),10,0.95,0.35,symmetry,y
(d),6.5,0,3.2,site_elim,n
(d),6,0,2.5,site_elim,n
(d),5.5,0,2.318,site_elim,n
(e),1,0,4.1,site_elim,n
(e),2.5,0,2.33,site_elim,n
(e),2.25,0,1.431,site_elim,n
(f),10,0.85,1.422,site_elim,y
(f),10,0.925,1.06,site_elim,y
(f),10,0.95,0.35,site_elim,y
(g),1,0,8.22,renorm,n
(g),3,0,6.8,renorm,n
(g),3.5,0,5.38,renorm,n
(h),6,0,7.83,renorm,n
(h),5,0,6.06,renorm,n
(h),4.5,0,5.38,renorm,n
(i),10,1,6.43,renorm,y
(i),10,0.9,6.43,renorm,y
(i),10,0.8,5.0,renorm,y